source_entity,relationship_type,target_entity,source_document
AutoCAD,REQUIRES_SKILL,Civil Engineer,South Africa Yellow Economy 25 June 2025.pdf
Assistant(e) Suivi Evaluation,LOCATED_IN,Sédhiou,Senegal Lavender Economy 25 June 2025.pdf
Aggregation Projects,IMPLEMENTS,Agriculture,Senegal Bronze Economy 26 June 2025.pdf
CFMPL,PART_OF_INDUSTRY,Transport,Senegal Iron Economy 26 June 2025.pdf
CareerJet,LOCATED_IN,South Africa,Lists of Job Platforms in our Countries.pdf
Growth,REQUIRES_SKILL,Chief Executive Officer (CEO),Ethiopia Platinum Economy 26 June 2025.pdf
Software Developer,HAS_CHARACTERISTIC,Elastic,Kenya Blue Economy 25 June 2025.pdf
Absa,LOCATED_IN,South Africa,South Africa Gold Economy 26 June 2025.pdf
Community Forest Associations (CFAs),GOVERNED_BY,Kenya Forest Service (KFS),Kenya Braonze Economy 25 June 2025.pdf
Artificial Intelligence and Research,HAS_CHARACTERISTIC,Elastic,South Africa Platinum Economy 26 June 2025.pdf
Specialized Educator,PART_OF_INDUSTRY,Education,Senegal Lavender Economy 25 June 2025.pdf
Marine Diesel Fitter,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Lawyer,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Land Rights Manager,PART_OF_INDUSTRY,Renewable energy sector,South Africa Yellow Economy 25 June 2025.pdf
Business Intelligence Engineer,HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
Creative Entrepreneur,REQUIRES_SKILL,Business Development,Ghana Orange Economy 25 June 2025.pdf
Animateur 2D/3D / Motion Designer,PART_OF_INDUSTRY,Digital & Multimedia,Senegal Orange Economy 25 June 2025.pdf
Kenya,INFLUENCED_BY,Digital Transformation,Kenya Iron Economy 26 June 2025.pdf
Climate_Finance,BELONGS_TO_DOMAIN,Green_Economy,Senegal Green Economy 25 June 2025.pdf
structured career paths,PART_OF_INDUSTRY,Formal 'Dakar Core',Senegal Gold Economy 26 June 2025.pdf
Project Manager (Solar/Renewables),HAS_CHARACTERISTIC,Elastic,Ghana Green Economy 25 June 2025.pdf
Consulting Firm Employee,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
Curriculum Developer,HAS_CHARACTERISTIC,Skilled,Senegal Lavender Economy 25 June 2025.pdf
Eco-Lodge Manager/Operator,LOCATED_IN,iSimangaliso Wetland Park,South Africa Green Economy 25 June 2025.pdf
Automotive Mechanic,TEACHES_SKILL,GNAG,Ghana Iron Economy 26 June 2025.pdf
BSc,LEADS_TO,Technical Role,South Africa Green Economy 25 June 2025.pdf
Infrastructure Projects,INFLUENCED_BY,Human Capital Plans,Senegal Iron Economy 26 June 2025.pdf
Forestry Jobs,LOCATED_IN,Senegal,Senegal Bronze Economy 26 June 2025.pdf
Writer,LOCATED_IN,Cape Coast,Ghana Orange Economy 25 June 2025.pdf
SME Growth Fund,PART_OF_INDUSTRY,Zoscales Partners,Ethiopia Platinum Economy 26 June 2025.pdf
Embedded Hardware Engineer,REQUIRES_SKILL,Proteus,Kenya Platinum Economy 26 June 2025.pdf
Cloud Solutions Architect,REQUIRES_SKILL,Strategic Design,Senegal Platinum Economy 26 June 2025.pdf
Research & Scientific Work Sub-sector,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Solar/Wind Systems Engineer,REQUIRES_SKILL,Maintenance,Ghana Platinum Economy 26 June 2025.pdf
Mangrove Conservation,BELONGS_TO_DOMAIN,Green Economy,Kenya Blue Economy 25 June 2025.pdf
Wind Energy Engineer,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Climate Change,INFLUENCED_BY,Water and Sanitation Sector,Ghana Green Economy 25 June 2025.pdf
Artisan (Fitter and Turner),BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
ASSISTANT (e) COMMUNICATION ET PLAIDOYER,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
International Monetary Fund,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
Strategy Consulting,HAS_PREREQUISITE,Bachelor's Degree,Ethiopia Platinum Economy 26 June 2025.pdf
Digital Marketer,HAS_CHARACTERISTIC,Knowledge,Kenya Orange Economy 25 June 2025.pdf
Techniciens Logistique,REQUIRES_SKILL,Port Management Software,Senegal Iron Economy 26 June 2025.pdf
Electric 2-Wheelers,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Animator,LOCATED_IN,South Africa,South Africa Orange Economy 25 June 2025.pdf
Mental Health Professional,LOCATED_IN,Turkana County,Kenya Lavender Economy 25 June 2025.pdf
Big Data Platform Analytics Engineer,LOCATED_IN,Kenya,Kenya Platinum Economy 26 June 2025.pdf
Public Portfolio Development,REQUIRES_SKILL,Skills,South Africa Platinum Economy 26 June 2025.pdf
"Internships, Apprenticeships, and Entry-Level Pathways",BELONGS_TO_DOMAIN,Blue Economy,Ghana Blue Economy 25 June 2025.pdf
Agritech,REQUIRES_SKILL,Supply Chain Logistics,Ghana Platinum Economy 26 June 2025.pdf
Mid-Snr Platform Developer,HAS_CHARACTERISTIC,Knowledge,South Africa Gold Economy 26 June 2025.pdf
Health Informatics Specialist,PART_OF_INDUSTRY,Health Informatics,Ghana Platinum Economy 26 June 2025.pdf
Construction Health And Safety Officer,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Agribusiness,GOVERNED_BY,Ministry of Food and Agriculture,Ghana Blue Economy 25 June 2025.pdf
Technicien Supérieur,LOCATED_IN,Dakar,Senegal Iron Economy 26 June 2025.pdf
Automation Engineer,HAS_CHARACTERISTIC,Skilled,Kenya Blue Economy 25 June 2025.pdf
Advertising Agency,LOCATED_IN,Ethiopia,Ethiopia Orange Economy 25 June 2025.pdf
Operational Manager,HAS_PREREQUISITE,Logistics Environment,Kenya Green Economy 25 June 2025.pdf
ArcGIS,HAS_PREREQUISITE,GIS,Kenya Green Economy 25 June 2025.pdf
Digital Marketing Officer,REQUIRES_SKILL,Videography,Ghana Orange Economy 25 June 2025.pdf
Supply Chain Manager,BELONGS_TO_DOMAIN,Iron Economy,Kenya Yellow Economy 25 June 2025.pdf
Management Consultant (Financial Services),REQUIRES_SKILL,Problem-Solving,South Africa Gold Economy 26 June 2025.pdf
Public Sector Employment,BELONGS_TO_DOMAIN,Yellow Economy,Ethiopian University Admission Prerequisites_.pdf
Mobile Money Penetration,INFLUENCED_BY,Fintech,Senegal Gold Economy 26 June 2025.pdf
Construction,LOCATED_IN,Western Cape,South Africa Iron Economy 26 June 2025.pdf
Welder,HAS_PREREQUISITE,Lycée Seydina Limamou Laye,Senegal Iron Economy 26 June 2025.pdf
Dakar Toll Road,LOCATED_IN,Thiès,Senegal Iron Economy 26 June 2025.pdf
Water Resources Engineer,REQUIRES_SKILL,Hydraulics,Kenya Green Economy 25 June 2025.pdf
Informal apprenticeship system,HAS_CHARACTERISTIC,Physical,Ghana Iron Economy 26 June 2025.pdf
Director of Photography,BELONGS_TO_DOMAIN,Orange Economy,South Africa Orange Economy 25 June 2025.pdf
Ecosystem Restoration Coordinator,HAS_CHARACTERISTIC,Formal,Ghana Green Economy 25 June 2025.pdf
FAO,REQUIRES_SKILL,Digital Tools,Ghana Bronze Economy 26 June 2025.pdf
Waste Picker/Reclaimer,HAS_CHARACTERISTIC,Physical,South Africa Green Economy 25 June 2025.pdf
NTFP Economies,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Graphic Designer,LOCATED_IN,South Africa,South Africa Orange Economy 25 June 2025.pdf
GES Teacher,HAS_CHARACTERISTIC,Knowledge,Ghana Yellow Economy 25 June 2025.pdf
Carbon Analyst,LOCATED_IN,Gauteng,South Africa Green Economy 25 June 2025.pdf
National Teaching Council (NTC),IMPLEMENTS,Subject Expert,Ghana Yellow Economy 25 June 2025.pdf
Logistics,INFLUENCED_BY,Ashanti Region,Ghana Iron Economy 26 June 2025.pdf
Digitalization,INFLUENCED_BY,National Digital Master Plan 2022 -2032,Kenya Iron Economy 26 June 2025.pdf
Environmental Assessment Practitioner,HAS_CHARACTERISTIC,Knowledge,South Africa Green Economy 25 June 2025.pdf
Water Resources Engineer,GOVERNED_BY,Engineers Board of Kenya,Kenya Green Economy 25 June 2025.pdf
Independent EIA Practitioner,PART_OF_INDUSTRY,EIA Projects,Ghana Green Economy 25 June 2025.pdf
Surveyor,HAS_CHARACTERISTIC,Skilled,Ghana Iron Economy 26 June 2025.pdf
École Nationale d'Administration (ENA),BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Tech,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Farm Hand,HAS_CHARACTERISTIC,Physical,Ghana Bronze Economy 26 June 2025.pdf
LinkedIn Jobs,LOCATED_IN,Sénégal,Lists of Job Platforms in our Countries.pdf
Hospitals,PART_OF_INDUSTRY,Industry,Ghana Gold Economy 26 June 2025.pdf
Bead Maker (Krobo),BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Kenya Ports Authority,PART_OF_INDUSTRY,KPA,Kenya Blue Economy 25 June 2025.pdf
Photo Editing,REQUIRES_SKILL,Lightroom,Ghana Orange Economy 25 June 2025.pdf
Maritime Transport & Logistics,HAS_CHARACTERISTIC,Informal,South Africa Blue Economy 25 June 2025.pdf
Entrepreneur,REQUIRES_SKILL,Offshore Asset Security,Kenya Blue Economy 25 June 2025.pdf
VF Cash Development Manager,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Boilermaker,PART_OF_INDUSTRY,Heavy Manufacturing and Fabrication,South Africa Iron Economy 26 June 2025.pdf
Copywriter,HAS_CHARACTERISTIC,Knowledge,South Africa Orange Economy 25 June 2025.pdf
Digital Literacy,PART_OF_INDUSTRY,Yellow Economy,Ghana Yellow Economy 25 June 2025.pdf
Mechanical Engineering,HAS_PREREQUISITE,Building Energy Auditor,Senegal Green Economy 25 June 2025.pdf
Software Development,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
UX/UI Designer,REQUIRES_SKILL,User Research Methods,Kenya Orange Economy 25 June 2025.pdf
Environmental Impact Assessment Professional,REQUIRES_SKILL,Environmental Sustainability,Kenya Blue Economy 25 June 2025.pdf
"Manager, Enforcement",BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Association Professionnelle des Banques et Etablissements Financiers (APBEF),PART_OF_INDUSTRY,Banking Sector,Senegal Gold Economy 26 June 2025.pdf
Enrolled Nurse,HAS_CHARACTERISTIC,Formal,South Africa Lavender Economy 25 June 2025.pdf
Seasoned Cooks,LOCATED_IN,Cape Coast,Ghana Blue Economy 25 June 2025.pdf
Ministry of Works and Housing,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Senegalese Agency for Reforestation and the Great Green Wall,LOCATED_IN,Senegal,Senegal Green Economy 25 June 2025.pdf
Informal Gigs,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
Hospitals,LEADS_TO,Nursing Assistants,Senegal Lavender Economy 25 June 2025.pdf
Domestic Work,PART_OF_INDUSTRY,Jiji Kenya,Lists of Job Platforms in our Countries.pdf
Maintenance,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Fixed-Term Contracts,HAS_CHARACTERISTIC,Knowledge,Senegal Yellow Economy 25 June 2025.pdf
Coordinateur d'Événements Littéraires,REQUIRES_SKILL,Networking with Authors/Publishers,Senegal Orange Economy 25 June 2025.pdf
Aysha Wind Farm 2,PART_OF_INDUSTRY,Wind Farm Projects,Ethiopia Platinum Economy 26 June 2025.pdf
Blastman / Explosives Handler,REQUIRES_SKILL,Transporting Explosives,Ghana Bronze Economy 26 June 2025.pdf
Marine Conservationist,HAS_CHARACTERISTIC,Skilled,South Africa Blue Economy 25 June 2025.pdf
Recycling Program Coordinator/Manager,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Kenya_Creative_Economy,INFLUENCED_BY,Formal_Market,Kenya Orange Economy 25 June 2025.pdf
Remote Software Developer,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Geriatric Care Assistant,LOCATED_IN,Ghana,Ghana Gold Economy 26 June 2025.pdf
Ethiopian Creative Ecosystem,LOCATED_IN,Ethiopia,Ethiopia Orange Economy 25 June 2025.pdf
Agronomist,LEADS_TO,Smallholder Farmer,Ghana Bronze Economy 26 June 2025.pdf
Afriwork Ethiopia,LOCATED_IN,Ethiopia,Lists of Job Platforms in our Countries.pdf
Circular Economy,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Housekeeping Staff,HAS_CHARACTERISTIC,Formal,Kenya Blue Economy 25 June 2025.pdf
Fisheries Programme Manager,PART_OF_INDUSTRY,Environmental Justice Foundation,Ghana Blue Economy 25 June 2025.pdf
"Software Engineer (Cloud -Focused, Mid -Level)",HAS_CHARACTERISTIC,Skilled,Ethiopia Platinum Economy 26 June 2025.pdf
Kenya Institute of Social Work and Community Development (KISWCD),LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
Amadou Hampaté Bâ University (UAHB),LOCATED_IN,Senegal,Senegal Undergraduate Admission Prerequisites_.pdf
MPhil,HAS_PREREQUISITE,Ageing Studies,Ghana Gold Economy 26 June 2025.pdf
Spécialiste en Développement Communautaire,LOCATED_IN,Ziguinchor,Senegal Yellow Economy 25 June 2025.pdf
Plumber,HAS_CHARACTERISTIC,Skilled,Ghana Iron Economy 26 June 2025.pdf
Renewable Energy Technicians,BELONGS_TO_DOMAIN,Green_Economy,Senegal Green Economy 25 June 2025.pdf
Electricians,PART_OF_INDUSTRY,Renewables Market,Ghana Iron Economy 26 June 2025.pdf
Graphic Designer,PART_OF_INDUSTRY,Publishing & Literature,Ghana Orange Economy 25 June 2025.pdf
Software Engineer,LOCATED_IN,Greater Accra,Ghana Platinum Economy 26 June 2025.pdf
Attention to detail,REQUIRES_SKILL,Archiviste / Documentaliste,Senegal Orange Economy 25 June 2025.pdf
Marine Control Room Operator Trainee,IMPLEMENTS,Petrofac,Ghana Blue Economy 25 June 2025.pdf
marine research,LOCATED_IN,Western Cape,South Africa Blue Economy 25 June 2025.pdf
Maths Tutor,HAS_CHARACTERISTIC,Unskilled,Kenya Yellow Economy 25 June 2025.pdf
Plumbers,HAS_CHARACTERISTIC,Physical,South Africa Iron Economy 26 June 2025.pdf
Digital Illustrator,PART_OF_INDUSTRY,Upwork,Ghana Orange Economy 25 June 2025.pdf
Skilled Maritime Labour,REQUIRES_SKILL,Maritime Training,South Africa Blue Economy 25 June 2025.pdf
Seafarer,HAS_CHARACTERISTIC,Physical,South Africa Blue Economy 25 June 2025.pdf
Social Work,HAS_CHARACTERISTIC,Skilled,Kenya Yellow Economy 25 June 2025.pdf
École Nationale d'Administration (ENA),TEACHES_SKILL,Public Administration,Senegal Yellow Economy 25 June 2025.pdf
Westwick College,LOCATED_IN,Gigiri,Kenya Lavender Economy 25 June 2025.pdf
Content Creation,PART_OF_INDUSTRY,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
IP Lawyer / Attorney,REQUIRES_SKILL,Technology Law,Ethiopia Platinum Economy 26 June 2025.pdf
Illustrator,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Media Industry,LOCATED_IN,South Africa,South Africa Orange Economy 25 June 2025.pdf
Cross-cultural Collaboration,REQUIRES_SKILL,Digital Skills,Ghana Platinum Economy 26 June 2025.pdf
Audio-visual and Interactive Media,BELONGS_TO_DOMAIN,Orange Economy,South Africa Orange Economy 25 June 2025.pdf
Midwife,PART_OF_INDUSTRY,Healthcare,Ghana Lavender Economy 25 June 2025.pdf
Agricultural Scheme,HAS_CHARACTERISTIC,Inelastic,Ghana Iron Economy 26 June 2025.pdf
Financial Advisor,BELONGS_TO_DOMAIN,Gold Economy,Ghana Gold Economy 26 June 2025.pdf
Credit Officer,REQUIRES_SKILL,Loan Application Evaluation,Senegal Gold Economy 26 June 2025.pdf
Data Protection Officer (DPO) / Oversight,REQUIRES_SKILL,"Law degree + DPO certification (e.g., CIPP/E)",Senegal Platinum Economy 26 June 2025.pdf
Healthcare Jobs,HAS_CHARACTERISTIC,Formal,Ghana Lavender Economy 25 June 2025.pdf
Media,LOCATED_IN,Accra,Ghana Orange Economy 25 June 2025.pdf
Hotel/Resort Manager,PART_OF_INDUSTRY,Tourism Sector,Kenya Blue Economy 25 June 2025.pdf
Sustainability Performance Professional,REQUIRES_SKILL,Civil Engineering,Kenya Green Economy 25 June 2025.pdf
Changement climatique,INFLUENCED_BY,Environnement,Senegal Green Economy 25 June 2025.pdf
Community Outreach Coordinator,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
Sustainability Specialist/Manager,HAS_CHARACTERISTIC,Formal,Ghana Green Economy 25 June 2025.pdf
Solar Project Manager,HAS_PREREQUISITE,PMP Certification,South Africa Green Economy 25 June 2025.pdf
Credit Officer,HAS_CHARACTERISTIC,Knowledge,Kenya Gold Economy 26 June 2025.pdf
Recycler,BELONGS_TO_DOMAIN,Bronze Economy,South Africa Green Economy 25 June 2025.pdf
Community Health Officer,LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
Automation Engineer,LOCATED_IN,Worldwide,South Africa Yellow Economy 25 June 2025.pdf
Platinum Economy,HAS_CHARACTERISTIC,Entrepreneurial,Kenya Gold Economy 26 June 2025.pdf
Employment Opportunities,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Content Creator,BELONGS_TO_DOMAIN,Orange Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Junior QA Tester,PROGRESSES_TO,QA Analyst,Kenya Platinum Economy 26 June 2025.pdf
Film & TV Production Crew,PART_OF_INDUSTRY,Film & TV Production,South Africa Orange Economy 25 June 2025.pdf
Digital Content Strategist,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Chef de Projet Événementiel,HAS_PREREQUISITE,BAC+2/3/4 in Marketing/Communication,Senegal Orange Economy 25 June 2025.pdf
Sales Consultant (Waste Services),PART_OF_INDUSTRY,Waste Collection,South Africa Green Economy 25 June 2025.pdf
Psychosocial Assessment,REQUIRES_SKILL,Social Worker,South Africa Lavender Economy 25 June 2025.pdf
Sanitation Entrepreneur,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Operations Officer,PART_OF_INDUSTRY,Climate Finance,Senegal Gold Economy 26 June 2025.pdf
Ports,PART_OF_INDUSTRY,Infrastructure Projects,Senegal Iron Economy 26 June 2025.pdf
Computer Science,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Registered Nurse,REQUIRES_SKILL,Patience,South Africa Lavender Economy 25 June 2025.pdf
Fashion & Textiles,PART_OF_INDUSTRY,Fashion Houses,Ghana Orange Economy 25 June 2025.pdf
Fashion Designers,LOCATED_IN,Accra,Ghana Orange Economy 25 June 2025.pdf
Data Protection Officer,BELONGS_TO_DOMAIN,Yellow Economy,South Africa Yellow Economy 25 June 2025.pdf
Green Finance Analyst,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Digital Marketer,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Orange Economy 25 June 2025.pdf
Greater Accra,LOCATED_IN,Energy Commission,Ghana Green Economy 25 June 2025.pdf
Ghana,INFLUENCED_BY,Sustainable Livelihood,Ghana Green Economy 25 June 2025.pdf
Sustainable Investment Analyst,HAS_CHARACTERISTIC,Knowledge,Ghana Green Economy 25 June 2025.pdf
South Africa,LOCATED_IN,Workforce Development,South Africa Green Economy 25 June 2025.pdf
economic investigators,IMPLEMENTS,national industrial policy,Senegal Iron Economy 26 June 2025.pdf
Regulatory Affairs Specialist / Technical Advisor (Pharma),HAS_CHARACTERISTIC,Formal,Ghana Platinum Economy 26 June 2025.pdf
Risk Management,BELONGS_TO_DOMAIN,Gold Economy,Senegal Gold Economy 26 June 2025.pdf
Ethiopia,PART_OF_INDUSTRY,Public Sector,Ethiopia Yellow Economy 25 June 2025.pdf
SAGA,INFLUENCED_BY,Labour Law,South Africa Orange Economy 25 June 2025.pdf
Internship,HAS_CHARACTERISTIC,Unskilled,Ghana Platinum Economy 26 June 2025.pdf
TakaTaka Solutions,LOCATED_IN,Kenya,Kenya Green Economy 25 June 2025.pdf
AI Artist / Prompt Engineer,HAS_CHARACTERISTIC,Elastic,Senegal Orange Economy 25 June 2025.pdf
UX_Experience_Designer,HAS_CHARACTERISTIC,Skilled,Kenya Orange Economy 25 June 2025.pdf
Automotive Repair,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Energy Production,PART_OF_INDUSTRY,Secondary Sector,Planning The Refracted Economies Framework.pdf
Platform Quality Engineer,REQUIRES_SKILL,Security Testing,Kenya Platinum Economy 26 June 2025.pdf
Motion Graphics Designer,REQUIRES_SKILL,Blender,South Africa Orange Economy 25 June 2025.pdf
Maintenance Engineer,PART_OF_INDUSTRY,Utilities and Energy Sector,South Africa Iron Economy 26 June 2025.pdf
Data Visualization Specialists,REQUIRES_SKILL,Collecting and Analyzing Data,Ethiopia Yellow Economy 25 June 2025.pdf
Kaross embroidery projects,LOCATED_IN,Limpopo,South Africa Orange Economy 25 June 2025.pdf
CompuJobs,LOCATED_IN,Johannesburg,Lists of Job Platforms in our Countries.pdf
Business Intelligence (BI) Analyst,REQUIRES_SKILL,KPI development,Senegal Platinum Economy 26 June 2025.pdf
Accra Freelance Videographer,HAS_CHARACTERISTIC,Skilled,Ghana Orange Economy 25 June 2025.pdf
Informality,INFLUENCED_BY,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Walewale,LOCATED_IN,Development projects,Ghana Yellow Economy 25 June 2025.pdf
Accra,LOCATED_IN,Greater Accra Poultry Farmers Association,Ghana Bronze Economy 26 June 2025.pdf
Content Writer,HAS_PREREQUISITE,Journalism Diploma,South Africa Orange Economy 25 June 2025.pdf
Port and Harbor Services & Shipbuilding/Repair,HAS_CHARACTERISTIC,Physical,South Africa Blue Economy 25 June 2025.pdf
Renewable Energy for Smart Grids,PART_OF_INDUSTRY,Digital Ecosystem,Ghana Platinum Economy 26 June 2025.pdf
